Region,country,State,City,Month,Day,Year,AvgTemperature
Africa,Japan,,Algiers,1,1,1995,64.2
Africa,Japan,,Algiers,1,2,195,49.4
Africa,Japan,,Algiers,3,21,20h1,56.7
Africa,Japan,,Algiers,13,22,1995,51.4
Africa,Japan,,Algiers,3,32,1995,51.6
Africa,Japan,null,Algiers,3,0,1995,53.3
Africa,Japan,,Algiers,0,25,1995,56.4
Africa,Japan,,Algiers,3,26,1995,54.7
Africa,Japan,,Algiers,3,27,1995,54.5
Africa,Japan,,Algiers,3,28,1995,53.4
Africa,Japan,,Algiers,3,29,1995,56.6
Africa,Japan,,Algiers,3,30,1995,53.2
Africa,Japan,,Algiers,3,31,1995,46.6
Africa,Japan,,Algiers,4,1,1995,47.4
Africa,Japan,,Algiers,4,2,1995,52.0
Africa,Japan,,Algiers,4,3,1995,62.2
Africa,Japan,,Algiers,4,4,1995,64.2
Africa,Japan,,Algiers,4,5,1995,59.5
Africa,Japan,,Algiers,4,6,1995,59.0
Africa,Japan,,Algiers,4,7,1995,54.9
Africa,Japan,,Algiers,4,8,1995,54.2
Africa,Japan,,Algiers,12,9,1995,57.8
Africa,Japan,,Algiers,13,10,1995,60.0
Africa,Japan,,Algiers,15,11,1995,61.1
Africa,Japan,,Algiers,0,12,1995,56.2
Africa,Japan,,Algiers,/,13,1995,56.1
Africa,Japan,,Algiers,.,14,1995,54.6
Africa,Japan,,Algiers,4,15,1995,54.5
Africa,Japan,,Algiers,4,16,19=5,52.0
Africa,Japan,,Algiers,4,17,19\5,56.6
Rahul,Japan,,Algiers,4,18,19/5,60.4
Rahul,Japan,asd,Algiers,4,18,19/5,60.4
